departure,arrival,travel_time_seconds,distance_km,emissions_kg_co2,transport_type,route_details
Angers,Strasbourg,52754,1556.1,2334.1499999999996,car,"{'one_way_distance_km': 778.05, 'one_way_duration_seconds': 26377, 'one_way_emissions_kg_co2': 1167.0749999999998, 'travel_steps': [{'step_type': 'car', 'from': 'Angers', 'to': 'Strasbourg', 'distance_km': 778.05, 'travel_time_seconds': 26377}, {'step_type': 'car', 'from': 'Strasbourg', 'to': 'Angers', 'distance_km': 778.05, 'travel_time_seconds': 26377}]}"
Angers,Saint-Étienne,36100,1145.02,1717.53,car,"{'one_way_distance_km': 572.51, 'one_way_duration_seconds': 18050, 'one_way_emissions_kg_co2': 858.765, 'travel_steps': [{'step_type': 'car', 'from': 'Angers', 'to': 'Saint-Étienne', 'distance_km': 572.51, 'travel_time_seconds': 18050}, {'step_type': 'car', 'from': 'Saint-Étienne', 'to': 'Angers', 'distance_km': 572.51, 'travel_time_seconds': 18050}]}"
Angers,Toulouse,40882,1278.568,1917.852,car,"{'one_way_distance_km': 639.284, 'one_way_duration_seconds': 20441, 'one_way_emissions_kg_co2': 958.9259999999999, 'travel_steps': [{'step_type': 'car', 'from': 'Angers', 'to': 'Toulouse', 'distance_km': 639.284, 'travel_time_seconds': 20441}, {'step_type': 'car', 'from': 'Toulouse', 'to': 'Angers', 'distance_km': 639.284, 'travel_time_seconds': 20441}]}"
Auxerre,Brest,50042,1432.854,2149.281,car,"{'one_way_distance_km': 716.427, 'one_way_duration_seconds': 25021, 'one_way_emissions_kg_co2': 1074.6405, 'travel_steps': [{'step_type': 'car', 'from': 'Auxerre', 'to': 'Brest', 'distance_km': 716.427, 'travel_time_seconds': 25021}, {'step_type': 'car', 'from': 'Brest', 'to': 'Auxerre', 'distance_km': 716.427, 'travel_time_seconds': 25021}]}"
Auxerre,Le Havre,26044,716.442,1074.663,car,"{'one_way_distance_km': 358.221, 'one_way_duration_seconds': 13022, 'one_way_emissions_kg_co2': 537.3315, 'travel_steps': [{'step_type': 'car', 'from': 'Auxerre', 'to': 'Le Havre', 'distance_km': 358.221, 'travel_time_seconds': 13022}, {'step_type': 'car', 'from': 'Le Havre', 'to': 'Auxerre', 'distance_km': 358.221, 'travel_time_seconds': 13022}]}"
Auxerre,Lens,28768,737.594,1106.391,car,"{'one_way_distance_km': 368.797, 'one_way_duration_seconds': 14384, 'one_way_emissions_kg_co2': 553.1955, 'travel_steps': [{'step_type': 'car', 'from': 'Auxerre', 'to': 'Lens', 'distance_km': 368.797, 'travel_time_seconds': 14384}, {'step_type': 'car', 'from': 'Lens', 'to': 'Auxerre', 'distance_km': 368.797, 'travel_time_seconds': 14384}]}"
Auxerre,Lille,29658,773.92,1160.88,car,"{'one_way_distance_km': 386.96, 'one_way_duration_seconds': 14829, 'one_way_emissions_kg_co2': 580.4399999999999, 'travel_steps': [{'step_type': 'car', 'from': 'Auxerre', 'to': 'Lille', 'distance_km': 386.96, 'travel_time_seconds': 14829}, {'step_type': 'car', 'from': 'Lille', 'to': 'Auxerre', 'distance_km': 386.96, 'travel_time_seconds': 14829}]}"
Auxerre,Lyon,22162,635.03,952.545,car,"{'one_way_distance_km': 317.515, 'one_way_duration_seconds': 11081, 'one_way_emissions_kg_co2': 476.2725, 'travel_steps': [{'step_type': 'car', 'from': 'Auxerre', 'to': 'Lyon', 'distance_km': 317.515, 'travel_time_seconds': 11081}, {'step_type': 'car', 'from': 'Lyon', 'to': 'Auxerre', 'distance_km': 317.515, 'travel_time_seconds': 11081}]}"
Auxerre,Marseille,42920,1240.45,1860.675,car,"{'one_way_distance_km': 620.225, 'one_way_duration_seconds': 21460, 'one_way_emissions_kg_co2': 930.3375000000001, 'travel_steps': [{'step_type': 'car', 'from': 'Auxerre', 'to': 'Marseille', 'distance_km': 620.225, 'travel_time_seconds': 21460}, {'step_type': 'car', 'from': 'Marseille', 'to': 'Auxerre', 'distance_km': 620.225, 'travel_time_seconds': 21460}]}"
Auxerre,Monaco,55250,1581.61,2372.415,car,"{'one_way_distance_km': 790.805, 'one_way_duration_seconds': 27625, 'one_way_emissions_kg_co2': 1186.2075, 'travel_steps': [{'step_type': 'car', 'from': 'Auxerre', 'to': 'Monaco', 'distance_km': 790.805, 'travel_time_seconds': 27625}, {'step_type': 'car', 'from': 'Monaco', 'to': 'Auxerre', 'distance_km': 790.805, 'travel_time_seconds': 27625}]}"
