team,scenario,transport_type,emissions_kg_co2,travel_time_seconds
Monaco,S-3h',avion,365043.86007761233,427132.0
Monaco,S-3h',bus,3066.24,74376.0
Monaco,S-6h,bus,21097.362,525616.0
Monaco,S-6h,train,92377.584188,1206940.0
Monaco,S-6h',bus,21097.362,525616.0
Monaco,S-6h',train,30210.144188000002,1206940.0
Monaco,S-NP,bus,21097.362,525616.0
Monaco,S-NP,train,92377.584188,1206940.0
Monaco,S-NP',bus,21097.362,525616.0
Monaco,S-NP',train,30210.144188000002,1206940.0
Monaco,SA,avion,463965.1426133638,448596.0
Monaco,SA,bus,1554.282,42664.0
Monaco,SA',avion,380700.34061336383,448596.0
Monaco,SA',bus,1554.282,42664.0
Lille,S-3h,avion,204568.5563824851,159836.0
Lille,S-3h,bus,2321.76,59316.0
Lille,S-3h,train,40121.777971999996,387956.0
Lille,S-3h',avion,169546.48438248513,159836.0
Lille,S-3h',bus,2321.76,59316.0
Lille,S-3h',train,17080.949972,387956.0
Lille,S-6h,bus,2321.76,59316.0
Lille,S-6h,train,86812.857552,965400.0
Lille,S-6h',bus,2321.76,59316.0
Lille,S-6h',train,28749.957551999996,965400.0
Lille,S-NP,bus,2321.76,59316.0
Lille,S-NP,train,86812.857552,965400.0
Lille,S-NP',bus,2321.76,59316.0
Lille,S-NP',train,28749.957551999996,965400.0
Lille,SA,avion,369491.71544906276,291232.0
Lille,SA,bus,4681.326,115820.0
Lille,SA',avion,309107.0554490628,291232.0
Lille,SA',bus,4681.326,115820.0
Nice,S-3h,avion,357148.3564978079,269212.0
Nice,S-3h,bus,15729.707999999999,369536.0
Nice,S-3h',avion,291556.8484978079,269212.0
Nice,S-3h',bus,15729.707999999999,369536.0
Nice,S-6h,bus,20461.554,492396.0
Nice,S-6h,train,89122.580828,1198312.0
Nice,S-6h',bus,20461.554,492396.0
Nice,S-6h',train,28262.918828,1198312.0
Nice,S-NP,bus,20461.554,492396.0
Nice,S-NP,train,89122.580828,1198312.0
Nice,S-NP',bus,20461.554,492396.0
Nice,S-NP',train,28262.918828,1198312.0
Nice,SA,avion,459612.9766133638,359316.0
Nice,SA,bus,1401.57,36736.0
Nice,SA',avion,378291.7606133638,359316.0
Nice,SA',bus,1401.57,36736.0
Strasbourg,S-3h,avion,334115.3804218207,302700.0
Strasbourg,S-3h,bus,2893.068,68884.0
Strasbourg,S-3h,train,10637.541596,196468.0
Strasbourg,S-3h',avion,279082.4564218207,302700.0
Strasbourg,S-3h',bus,2893.068,68884.0
Strasbourg,S-3h',train,1105.389596,196468.0
Strasbourg,S-6h,bus,12264.936,314520.0
Strasbourg,S-6h,train,74150.922512,988132.0
Strasbourg,S-6h',bus,12264.936,314520.0
Strasbourg,S-6h',train,18957.714512,988132.0
Strasbourg,S-NP,bus,12264.936,314520.0
Strasbourg,S-NP,train,74150.922512,988132.0
Strasbourg,S-NP',bus,12264.936,314520.0
Strasbourg,S-NP',train,18957.714512,988132.0
Strasbourg,SA,avion,415974.30792537803,380756.0
Strasbourg,SA,bus,2104.068,50072.0
Strasbourg,SA,train,1647.2267359999998,18096.0
Strasbourg,SA',avion,348516.16392537806,380756.0
Strasbourg,SA',bus,2104.068,50072.0
Strasbourg,SA',train,150.646736,18096.0
Brest,S-3h,avion,414437.64163011475,321392.0
Brest,S-3h,bus,2731.41,66880.0
Brest,S-3h,train,7544.688223999999,92744.0
Brest,S-3h',avion,342747.0856301148,321392.0
Brest,S-3h',bus,2731.41,66880.0
Brest,S-3h',train,3036.690223999999,92744.0
Brest,S-6h,bus,8044.536,184248.0
Brest,S-6h,train,97662.038,1373664.0
Brest,S-6h',bus,8044.536,184248.0
Brest,S-6h',train,26776.61,1373664.0
Brest,S-NP,bus,8044.536,184248.0
Brest,S-NP,train,97662.038,1373664.0
Brest,S-NP',bus,8044.536,184248.0
Brest,S-NP',train,26776.61,1373664.0
Brest,SA,avion,461711.22939911403,359536.0
Brest,SA,bus,5453.201999999999,131864.0
Brest,SA',avion,382781.26539911405,359536.0
Brest,SA',bus,5453.201999999999,131864.0
Le Havre,S-3h,avion,257580.85210969282,225024.0
Le Havre,S-3h,bus,3806.073,92924.0
Le Havre,S-3h',avion,215101.9261096928,225024.0
Le Havre,S-3h',bus,3806.073,92924.0
Le Havre,S-6h,bus,11186.288999999999,261532.0
Le Havre,S-6h,train,49797.744866,686290.0
Le Havre,S-6h',bus,11186.288999999999,261532.0
Le Havre,S-6h',train,14699.034865999998,686290.0
Le Havre,S-NP,bus,11186.288999999999,261532.0
Le Havre,S-NP,train,49797.744866,686290.0
Le Havre,S-NP',bus,11186.288999999999,261532.0
Le Havre,S-NP',train,14699.034865999998,686290.0
Le Havre,SA,avion,285812.3918140148,252584.0
Le Havre,SA,bus,13458.375,313862.0
Le Havre,SA',avion,239527.39281401483,252584.0
Le Havre,SA',bus,13458.375,313862.0
Paris Saint-Germain,S-3h,avion,238042.43936262125,252222.0
Paris Saint-Germain,S-3h',avion,201607.07636262124,252222.0
Paris Saint-Germain,S-6h,train,40202.950172,560498.0
Paris Saint-Germain,S-6h',train,3767.587172,560498.0
Paris Saint-Germain,S-NP,train,40202.950172,560498.0
Paris Saint-Germain,S-NP',train,3767.587172,560498.0
Paris Saint-Germain,SA,"aller en bus
retour en avion",869.8229999999999,0.0
Paris Saint-Germain,SA,avion,238042.43936262125,252222.0
Paris Saint-Germain,SA,bus,7853.577,198474.0
Paris Saint-Germain,SA,train,4399.371652,56532.0
Paris Saint-Germain,SA',"aller en bus
retour en avion",0.0,0.0
Paris Saint-Germain,SA',avion,201607.07636262124,252222.0
Paris Saint-Germain,SA',bus,7853.577,198474.0
Paris Saint-Germain,SA',train,401.736652,56532.0
Lens,S-3h,avion,352593.8899485438,335840.0
Lens,S-3h,train,4515.696324,54840.0
Lens,S-3h',avion,295889.3899485438,335840.0
Lens,S-3h',train,2302.914324,54840.0
Lens,S-6h,train,102909.287864,1098576.0
Lens,S-6h',train,43992.005864,1098576.0
Lens,S-NP,train,102909.287864,1098576.0
Lens,S-NP',train,43992.005864,1098576.0
Lens,SA,avion,370263.7954490628,357116.0
Lens,SA,bus,4344.696,110252.0
Lens,SA',avion,311346.51344906277,357116.0
Lens,SA',bus,4344.696,110252.0
Reims,S-3h,avion,279163.23839328706,309518.0
Reims,S-3h',avion,236429.2943932871,309518.0
Reims,S-6h,train,85417.51169,878424.0
Reims,S-6h',train,42683.567689999996,878424.0
Reims,S-NP,train,85417.51169,878424.0
Reims,S-NP',train,42683.567689999996,878424.0
Reims,SA,avion,279163.23839328706,309518.0
Reims,SA,bus,10269.318,249638.0
Reims,SA,train,1408.88746,27126.0
Reims,SA',avion,236429.2943932871,309518.0
Reims,SA',bus,10269.318,249638.0
Reims,SA',train,121.98946,27126.0
Toulouse,S-3h,avion,313539.81560981943,286800.0
Toulouse,S-3h,bus,14544.869999999999,340160.0
Toulouse,S-3h,train,3647.44068,69992.0
Toulouse,S-3h',avion,264079.21760981943,286800.0
Toulouse,S-3h',bus,14544.869999999999,340160.0
Toulouse,S-3h',train,378.12468,69992.0
Toulouse,S-6h,bus,38305.59,875160.0
Toulouse,S-6h,train,48718.7622,614148.0
Toulouse,S-6h',bus,38305.59,875160.0
Toulouse,S-6h',train,19749.568199999998,614148.0
Toulouse,S-NP,bus,38305.59,875160.0
Toulouse,S-NP,train,48718.7622,614148.0
Toulouse,S-NP',bus,38305.59,875160.0
Toulouse,S-NP',train,19749.568199999998,614148.0
Toulouse,SA,avion,427083.5390049987,385244.0
Toulouse,SA,bus,1449.084,33504.0
Toulouse,SA',avion,359808.7550049987,385244.0
Toulouse,SA',bus,1449.084,33504.0
Nantes,S-3h,avion,349131.0545756108,369774.0
Nantes,S-3h',avion,294575.4425756108,369774.0
Nantes,S-6h,bus,11316.851999999999,245698.0
Nantes,S-6h,train,68039.273924,808066.0
Nantes,S-6h',bus,11316.851999999999,245698.0
Nantes,S-6h',train,24800.513924000003,808066.0
Nantes,S-NP,bus,11316.851999999999,245698.0
Nantes,S-NP,train,68039.273924,808066.0
Nantes,S-NP',bus,11316.851999999999,245698.0
Nantes,S-NP',train,24800.513924000003,808066.0
Nantes,SA,avion,349131.0545756108,369774.0
Nantes,SA,bus,8057.94,184524.0
Nantes,SA',avion,294575.4425756108,369774.0
Nantes,SA',bus,8057.94,184524.0
Auxerre,S-3h,avion,114556.30567666632,109586.0
Auxerre,S-3h,bus,21948.015,522354.0
Auxerre,S-3h,train,4515.696324,54840.0
Auxerre,S-3h',avion,96682.68967666633,109586.0
Auxerre,S-3h',bus,21948.015,522354.0
Auxerre,S-3h',train,2302.914324,54840.0
Auxerre,S-6h,bus,31801.719,750364.0
Auxerre,S-6h,train,15345.709616,236328.0
Auxerre,S-6h',bus,31801.719,750364.0
Auxerre,S-6h',train,5113.015616000001,236328.0
Auxerre,S-NP,bus,31801.719,750364.0
Auxerre,S-NP,train,15345.709616,236328.0
Auxerre,S-NP',bus,31801.719,750364.0
Auxerre,S-NP',train,5113.015616000001,236328.0
Auxerre,SA,avion,282578.01474441634,271026.0
Auxerre,SA,bus,6838.334999999999,168680.0
Auxerre,SA',avion,240543.60174441634,271026.0
Auxerre,SA',bus,6838.334999999999,168680.0
