location,team_name,stadium_name,stop_area_id,gare_name,latitude,longitude,distance_to_stadium
Reims,Reims,Stade Auguste Delaune,stop_area:SNCF:87747360,Reims Gouraud (Reims),49.244794,4.048719,1.8166552220006675
Reims,Reims,Stade Auguste Delaune,stop_area:SNCF:87171272,Reims Maison Blanche (Reims),49.233406,4.022648,1.5205546086296438
Reims,Reims,Stade Auguste Delaune,stop_area:SNCF:87747378,Reims Saint-Symphorien (Reims),49.255102,4.03603,1.2536095102199891
Reims,Reims,Stade Auguste Delaune,stop_area:SNCF:87417444,Franchet d'Esperey (Reims),49.242536,4.013869,0.8867031257226188
Rennes,Rennes,Roazhon Park,stop_area:SNCF:87471003,Rennes (Rennes),48.103517,-1.672744,3.0117004838310097
Rennes,Rennes,Roazhon Park,stop_area:SNCF:87334508,La Poterie (Rennes),48.092345,-1.630773,6.324503685649055
Rennes,Rennes,Roazhon Park,stop_area:SNCF:87717629,Rennes Beaulieu Chimie (Rennes),48.117098,-1.633905,5.958832934907676
Rennes,Rennes,Roazhon Park,stop_area:SNCF:87471391,Pontchaillou (Rennes),48.118641,-1.691118,2.0359148626799533
Strasbourg,Strasbourg,Stade de la Meinau,stop_area:SNCF:87212027,Strasbourg (Strasbourg),48.584532,7.734793,3.110633766542273
Strasbourg,Strasbourg,Stade de la Meinau,stop_area:SNCF:87338525,Krimmeri Meinau (Strasbourg),48.563644,7.752614,0.44483286598768845
Saint-Étienne,Saint-Étienne,Stade Geoffroy Guichard,stop_area:SNCF:87726158,Saint-Étienne - La Terrasse (Saint-Étienne),45.464868,4.379554,0.9098310364978625
Saint-Étienne,Saint-Étienne,Stade Geoffroy Guichard,stop_area:SNCF:87726000,Saint-Étienne Châteaucreux (Saint-Étienne),45.443366,4.399722,2.0690726684775784
Saint-Étienne,Saint-Étienne,Stade Geoffroy Guichard,stop_area:SNCF:87726190,Saint-Étienne - Bellevue (Saint-Étienne),45.417198,4.392683,4.8235186591753365
Toulouse,Toulouse,Stadium de Toulouse,stop_area:SNCF:87611004,Toulouse Matabiau (Toulouse),43.611206,1.453616,3.480463745217964
Toulouse,Toulouse,Stadium de Toulouse,stop_area:SNCF:87353573,Le Toec (Toulouse),43.595554,1.401371,2.9637144175868273
Toulouse,Toulouse,Stadium de Toulouse,stop_area:SNCF:87611939,Lardenne (Toulouse),43.596688,1.383056,4.3683734594578905
Toulouse,Toulouse,Stadium de Toulouse,stop_area:SNCF:87612010,Montaudran (Toulouse),43.573691,1.480201,3.8681688695419383
Toulouse,Toulouse,Stadium de Toulouse,stop_area:SNCF:87611301,Saint-Agne (Toulouse),43.579477,1.45012,1.3624963664990515
Toulouse,Toulouse,Stadium de Toulouse,stop_area:SNCF:87611434,Lacourtensourt (Toulouse),43.663842,1.41409,9.099109355400934
Toulouse,Toulouse,Stadium de Toulouse,stop_area:SNCF:87353581,Les Ramassiers (Toulouse),43.602399,1.352946,6.868139998217792
Toulouse,Toulouse,Stadium de Toulouse,stop_area:SNCF:87353599,Saint-Martin du Touch (Toulouse),43.599788,1.371855,5.33385260660906
Toulouse,Toulouse,Stadium de Toulouse,stop_area:SNCF:87497461,Gallieni - Cancéropôle (Toulouse),43.573088,1.41958,1.626951410823393
