departure,arrival,travel_time_seconds,distance_km,emissions_kg_co2,transport_type,route_details
Angers,Paris Saint-Germain,13494,545.9107294364821,92.989728,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'type': 'public_transport', 'distance_km': 262.62436471824105, 'co2_kg': 0.61996728, 'time_s': 5040}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'to': 'Parc des Princes', 'distance_km': 14.796, 'travel_time_seconds': 2152, 'emissions_kg_co2': 22.193999999999996}]}}"
Angers,Reims,27126,865.3546338829801,121.98946,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Champagne-Ardenne TGV (Bezannes)', 'type': 'public_transport', 'distance_km': 423.59062036833285, 'co2_kg': 0.9999556000000001, 'time_s': 11160}, {'from': 'Champagne-Ardenne TGV (Bezannes)', 'to': 'Reims Maison Blanche (Reims)', 'type': 'public_transport', 'distance_km': 2.909696573157209, 'co2_kg': 0.034629, 'time_s': 300}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Reims Maison Blanche (Reims)', 'to': 'Stade Auguste Delaune', 'distance_km': 6.488, 'travel_time_seconds': 1024, 'emissions_kg_co2': 9.732000000000001}]}}"
Angers,Rennes,13688,321.16965135609615,56.844372,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Rennes (Rennes)', 'type': 'public_transport', 'distance_km': 153.73382567804808, 'co2_kg': 0.36291372, 'time_s': 5580}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Rennes (Rennes)', 'to': 'Roazhon Park', 'distance_km': 7.836, 'travel_time_seconds': 1266, 'emissions_kg_co2': 11.754000000000001}]}}"
Angers,Strasbourg,34924,1427.3732940450411,188.692756,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Strasbourg (Strasbourg)', 'type': 'public_transport', 'distance_km': 706.3726470225206, 'co2_kg': 1.66750756, 'time_s': 15960}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Strasbourg (Strasbourg)', 'to': 'Stade de la Meinau', 'distance_km': 8.762, 'travel_time_seconds': 1742, 'emissions_kg_co2': 13.142999999999999}]}}"
Angers,Saint-Étienne,44452,1500.9504820530867,272.292716,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Lyon Perrache (Lyon)', 'type': 'public_transport', 'distance_km': 678.1104887199265, 'co2_kg': 1.60079036, 'time_s': 15780}, {'from': 'Lyon Perrache (Lyon)', 'to': 'Saint-Étienne - Bellevue (Saint-Étienne)', 'type': 'public_transport', 'distance_km': 57.955752306616944, 'co2_kg': 0.6898668, 'time_s': 4260}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Saint-Étienne - Bellevue (Saint-Étienne)', 'to': 'Stade Geoffroy Guichard', 'distance_km': 22.952, 'travel_time_seconds': 1670, 'emissions_kg_co2': 34.428000000000004}]}}"
Angers,Toulouse,51308,1283.5814855453457,177.08531599999998,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Tours (Tours)', 'type': 'public_transport', 'distance_km': 101.73772272593403, 'co2_kg': 0.24016775999999998, 'time_s': 3240}, {'from': 'Tours (Tours)', 'to': 'Saint-Pierre-des-Corps (Saint-Pierre-des-Corps)', 'type': 'public_transport', 'distance_km': 2.2854460690447875, 'co2_kg': 0.0272034, 'time_s': 300}, {'from': 'Saint-Pierre-des-Corps (Saint-Pierre-des-Corps)', 'to': 'Bordeaux Saint-Jean (Bordeaux)', 'type': 'public_transport', 'distance_km': 306.225195523876, 'co2_kg': 0.72289396, 'time_s': 7140}, {'from': 'Bordeaux Saint-Jean (Bordeaux)', 'to': 'Toulouse Matabiau (Toulouse)', 'type': 'public_transport', 'distance_km': 223.07637845381805, 'co2_kg': 0.5266080399999999, 'time_s': 8820}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Toulouse Matabiau (Toulouse)', 'to': 'Stadium de Toulouse', 'distance_km': 11.066, 'travel_time_seconds': 2046, 'emissions_kg_co2': 16.599}]}}"
Auxerre,Brest,60170,1475.7629952700072,330.38274,train,"{'train_route_details': [{'from': 'Auxerre-Saint-Gervais (Auxerre)', 'to': 'Montereau (Montereau-Fault-Yonne)', 'type': 'public_transport', 'distance_km': 89.24163104867, 'co2_kg': 1.0622654, 'time_s': 5580}, {'from': 'Montereau (Montereau-Fault-Yonne)', 'to': 'Paris - Gare de Lyon - Hall 1 & 2 (Paris)', 'type': 'public_transport', 'distance_km': 71.86712053314096, 'co2_kg': 0.52333736, 'time_s': 3480}, {'from': 'Paris - Gare de Lyon - Hall 1 & 2 (Paris)', 'to': 'Paris Gare de Lyon (Paris)', 'type': 'transfer', 'distance_km': 0.1335447666812244, 'co2_kg': 0.0, 'time_s': 170}, {'from': 'Paris Gare de Lyon (Paris)', 'to': 'La Grande Arche de la Défense (Puteaux)', 'type': 'public_transport', 'distance_km': 11.662498589597028, 'co2_kg': 0.0849212, 'time_s': 720}, {'from': 'La Grande Arche de la Défense (Puteaux)', 'to': 'La Défense (Puteaux)', 'type': 'transfer', 'distance_km': 0.15731097491836005, 'co2_kg': 0.0, 'time_s': 200}, {'from': 'La Défense (Puteaux)', 'to': 'Versailles Chantiers (Versailles)', 'type': 'public_transport', 'distance_km': 14.12031246127136, 'co2_kg': 0.10282272, 'time_s': 1260}, {'from': 'Versailles Chantiers (Versailles)', 'to': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'type': 'public_transport', 'distance_km': 15.839945080525833, 'co2_kg': 0.11534432, 'time_s': 1500}, {'from': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'to': 'Brest (Brest)', 'type': 'public_transport', 'distance_km': 529.3411341801989, 'co2_kg': 1.2495964, 'time_s': 13860}], 'car_route_details': {'segments': [{'from': 'Stade Abbé Deschamps', 'to': 'Auxerre-Saint-Gervais (Auxerre)', 'distance_km': 4.556, 'travel_time_seconds': 752, 'emissions_kg_co2': 6.834}, {'from': 'Brest (Brest)', 'to': 'Stade Francis-Le Blé', 'distance_km': 6.48, 'travel_time_seconds': 978, 'emissions_kg_co2': 9.72}]}}"
Auxerre,Le Havre,47222,724.5150251649565,406.17079,train,"{'train_route_details': [{'from': 'Auxerre-Saint-Gervais (Auxerre)', 'to': 'Montereau (Montereau-Fault-Yonne)', 'type': 'public_transport', 'distance_km': 89.24163104867, 'co2_kg': 1.0622654, 'time_s': 4920}, {'from': 'Montereau (Montereau-Fault-Yonne)', 'to': 'Paris - Gare de Lyon - Hall 1 & 2 (Paris)', 'type': 'public_transport', 'distance_km': 71.86712053314096, 'co2_kg': 0.52333736, 'time_s': 3480}, {'from': 'Paris - Gare de Lyon - Hall 1 & 2 (Paris)', 'to': 'Paris Gare de Lyon (Paris)', 'type': 'transfer', 'distance_km': 0.1335447666812244, 'co2_kg': 0.0, 'time_s': 170}, {'from': 'Paris Gare de Lyon (Paris)', 'to': 'Auber (Paris)', 'type': 'public_transport', 'distance_km': 4.472701222834584, 'co2_kg': 0.03256344, 'time_s': 300}, {'from': 'Auber (Paris)', 'to': 'Paris Saint-Lazare (Paris)', 'type': 'transfer', 'distance_km': 0.6052301936507316, 'co2_kg': 0.0, 'time_s': 600}, {'from': 'Paris Saint-Lazare (Paris)', 'to': 'Le Havre (Le Havre)', 'type': 'public_transport', 'distance_km': 189.79028481750078, 'co2_kg': 2.2591316999999997, 'time_s': 7860}], 'car_route_details': {'segments': [{'from': 'Stade Abbé Deschamps', 'to': 'Auxerre-Saint-Gervais (Auxerre)', 'distance_km': 4.556, 'travel_time_seconds': 752, 'emissions_kg_co2': 6.834}, {'from': 'Le Havre (Le Havre)', 'to': 'Stade Océane', 'distance_km': 7.738, 'travel_time_seconds': 1110, 'emissions_kg_co2': 11.607000000000001}]}}"
Auxerre,Lens,36760,697.1833887700253,217.049852,train,"{'train_route_details': [{'from': 'Auxerre-Saint-Gervais (Auxerre)', 'to': 'Montereau (Montereau-Fault-Yonne)', 'type': 'public_transport', 'distance_km': 89.24163104867, 'co2_kg': 1.0622654, 'time_s': 4920}, {'from': 'Montereau (Montereau-Fault-Yonne)', 'to': 'Melun (Melun)', 'type': 'public_transport', 'distance_km': 31.851118124692665, 'co2_kg': 0.2319408, 'time_s': 2220}, {'from': 'Melun (Melun)', 'to': 'Gare du Nord (Paris)', 'type': 'public_transport', 'distance_km': 48.2222710582494, 'co2_kg': 0.3511508, 'time_s': 3720}, {'from': 'Gare du Nord (Paris)', 'to': 'Paris Nord (Paris)', 'type': 'transfer', 'distance_km': 0.23520859542016212, 'co2_kg': 0.0, 'time_s': 299}, {'from': 'Paris Nord (Paris)', 'to': 'Lens (Lens)', 'type': 'public_transport', 'distance_km': 175.3334655579804, 'co2_kg': 0.41390152, 'time_s': 3840}], 'car_route_details': {'segments': [{'from': 'Stade Abbé Deschamps', 'to': 'Auxerre-Saint-Gervais (Auxerre)', 'distance_km': 4.556, 'travel_time_seconds': 752, 'emissions_kg_co2': 6.834}, {'from': 'Lens (Lens)', 'to': 'Stade Bollaert-Delelis', 'distance_km': 2.86, 'travel_time_seconds': 488, 'emissions_kg_co2': 4.289999999999999}]}}"
Auxerre,Lille,34118,738.6808299716221,130.57892,train,"{'train_route_details': [{'from': 'Auxerre-Saint-Gervais (Auxerre)', 'to': 'Laroche - Migennes (Migennes)', 'type': 'public_transport', 'distance_km': 18.939997443201968, 'co2_kg': 0.22544550000000002, 'time_s': 960}, {'from': 'Laroche - Migennes (Migennes)', 'to': 'Paris - Gare de Lyon - Hall 1 & 2 (Paris)', 'type': 'public_transport', 'distance_km': 133.19611726844835, 'co2_kg': 0.31442988000000005, 'time_s': 4740}, {'from': 'Paris - Gare de Lyon - Hall 1 & 2 (Paris)', 'to': 'Paris - Gare de Lyon - Banlieue (Paris)', 'type': 'transfer', 'distance_km': 0.006951005778002146, 'co2_kg': 0.0, 'time_s': 8}, {'from': 'Paris - Gare de Lyon - Banlieue (Paris)', 'to': 'Gare du Nord (Paris)', 'type': 'public_transport', 'distance_km': 4.98402118313915, 'co2_kg': 0.0362908, 'time_s': 480}, {'from': 'Gare du Nord (Paris)', 'to': 'Paris Nord (Paris)', 'type': 'transfer', 'distance_km': 0.23520859542016212, 'co2_kg': 0.0, 'time_s': 299}, {'from': 'Paris Nord (Paris)', 'to': 'Lille Flandres (Lille)', 'type': 'public_transport', 'distance_km': 201.9453778221469, 'co2_kg': 0.47672472, 'time_s': 3960}, {'from': 'Lille Flandres (Lille)', 'to': 'Lezennes (Lille)', 'type': 'public_transport', 'distance_km': 2.65674166767651, 'co2_kg': 0.0316183, 'time_s': 240}], 'car_route_details': {'segments': [{'from': 'Stade Abbé Deschamps', 'to': 'Auxerre-Saint-Gervais (Auxerre)', 'distance_km': 4.556, 'travel_time_seconds': 752, 'emissions_kg_co2': 6.834}, {'from': 'Lezennes (Lille)', 'to': 'Decathlon Arena Pierre Mauroy Stadium', 'distance_km': 10.196, 'travel_time_seconds': 1446, 'emissions_kg_co2': 15.293999999999999}]}}"
