,Nom,trajet,steps,type,distance,time,vehicule_type
20,Angers-Lens route 3,Angers;-Lens,"['Angers Saint-Laud;-Le Mans', 'Le Mans;-Lille Europe', 'Lille Flandres;-Lens']","['TGV INOUI', 'TGV INOUI', 'TER']","['96.7 km', '476 km', '38.7 km']","[2280, 10080, 2400]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
21,Angers-Lens route 4,Angers;-Lens,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare du Nord;-Lens']","['TGV INOUI', 'TGV INOUI']","['298 km', '199 km']","[5220, 4260]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
22,Angers-Lens route 5,Angers;-Lens,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare du Nord;-Lens']","['TGV INOUI', 'TGV INOUI']","['298 km', '199 km']","[5220, 4260]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
23,Angers-Lens route 6,Angers;-Lens,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare du Nord;-Douai', 'Douai;-Lens']","['TGV INOUI', 'TGV INOUI', 'TER']","['298 km', '205 km', '25.8 km']","[5820, 3960, 1860]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
24,Angers-Lille route 1,Angers;-Lille,"['Angers Saint-Laud;-Le Mans', 'Le Mans;-Lille Europe']","['TGV INOUI', 'TGV INOUI']","['96.7 km', '476 km']","[2280, 10080]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
25,Angers-Lille route 2,Angers;-Lille,"['Angers Saint-Laud;-Le Mans', 'Le Mans;-Lille Europe']","['TGV INOUI', 'TGV INOUI']","['96.7 km', '476 km']","[2280, 10080]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
26,Angers-Lille route 3,Angers;-Lille,"['Angers Saint-Laud;-Le Mans', 'Le Mans;-Lille Europe']","['TGV INOUI', 'TGV INOUI']","['96.7 km', '476 km']","[2280, 10080]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
27,Angers-Lille route 4,Angers;-Lille,"['Angers Saint-Laud;-Saint-Pierre-des-Corps', 'Saint-Pierre-des-Corps;-Lille Europe']","['TGV INOUI', 'TGV INOUI']","['108 km', '495 km']","[3480, 10920]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
28,Angers-Lille route 5,Angers;-Lille,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare du Nord;-Lille Europe']","['TGV INOUI', 'TGV INOUI']","['298 km', '233 km']","[5220, 4500]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
29,Angers-Lille route 6,Angers;-Lille,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare du Nord;-Lille Flandres']","['TGV INOUI', 'TGV INOUI']","['298 km', '225 km']","[5220, 3900]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
30,Angers-Lyon route 1,Angers;-Lyon,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Lyon Part Dieu']","['OUIGO', 'TGV INOUI']","['298 km', '427 km']","[5040, 7320]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
31,Angers-Lyon route 2,Angers;-Lyon,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Lyon Part Dieu']","['TGV INOUI', 'TGV INOUI']","['298 km', '427 km']","[5820, 7320]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
32,Angers-Lyon route 3,Angers;-Lyon,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Lyon Part Dieu']","['TGV INOUI', 'FR']","['298 km', '431 km']","[5820, 6900]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
33,Angers-Lyon route 4,Angers;-Lyon,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Lyon Part Dieu']","['TGV INOUI', 'TGV INOUI']","['298 km', '427 km']","[5820, 7320]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
34,Angers-Lyon route 5,Angers;-Lyon,"['Angers Saint-Laud;-Le Mans', 'Le Mans;-Lyon Part Dieu']","['TER', 'TGV INOUI']","['96.7 km', '620 km']","[2880, 10800]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN']"
35,Angers-Lyon route 6,Angers;-Lyon,['Angers Saint-Laud;-Lyon Part Dieu'],['TGV INOUI'],['748 km'],[14640],['HIGH_SPEED_TRAIN']
36,Angers-Marseille route 1,Angers;-Marseille,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Marseille Saint-Charles']","['TGV INOUI', 'TGV INOUI']","['298 km', '747 km']","[5820, 11040]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
37,Angers-Marseille route 2,Angers;-Marseille,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Marseille Saint-Charles']","['TGV INOUI', 'TGV INOUI']","['298 km', '747 km']","[5820, 11040]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
38,Angers-Marseille route 3,Angers;-Marseille,"['Angers Saint-Laud;-Le Mans', 'Le Mans;-Lyon Part Dieu', 'Lyon Part Dieu;-Marseille Saint-Charles']","['TER', 'TGV INOUI', 'TGV INOUI']","['96.7 km', '620 km', '320 km']","[2880, 10800, 6180]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
