,Nom,trajet,steps,type,distance,time,vehicule_type
459,Lens-Montpellier route 6,Lens;-Montpellier,"['Lens;-Lille Flandres', 'Lille Flandres;-Lyon Part Dieu', 'Lyon Part Dieu;-Montpellier Saint-Roch']","['TER', 'OUIGO', 'TGV INOUI']","['38.7 km', '645 km', '314 km']","[2400, 10980, 6900]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
460,Lens-Nantes route 1,Lens;-Nantes,"['Lens;-Gare du Nord', 'Gare Montparnasse;-Nantes']","['TGV INOUI', 'OUIGO']","['199 km', '385 km']","[4740, 7320]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
461,Lens-Nantes route 2,Lens;-Nantes,"['Lens;-Gare du Nord', 'Gare Montparnasse;-Nantes']","['TGV INOUI', 'OUIGO']","['199 km', '385 km']","[4740, 7320]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
462,Lens-Nantes route 3,Lens;-Nantes,"['Lens;-Gare du Nord', 'Gare Montparnasse;-Nantes']","['TGV INOUI', 'OUIGO']","['199 km', '385 km']","[4740, 7320]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
463,Lens-Nantes route 4,Lens;-Nantes,"['Lens;-Gare du Nord', 'Gare Montparnasse;-Nantes']","['TGV INOUI', 'OUIGO']","['199 km', '385 km']","[4740, 7320]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
464,Lens-Nantes route 5,Lens;-Nantes,"['Lens;-Lille Flandres', 'Lille Europe;-Nantes']","['TER', 'TGV INOUI']","['38.7 km', '660 km']","[2340, 14280]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN']"
465,Lens-Nantes route 6,Lens;-Nantes,"['Lens;-Gare du Nord', 'Gare Montparnasse;-Nantes']","['TGV INOUI', 'TGV INOUI']","['199 km', '385 km']","[4200, 7620]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
466,Lens-Nice route 1,Lens;-Nice,"['Hénin-Beaumont;-Lille Flandres', 'Lille Flandres;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Nice Saint-Augustin']","['TER', 'OUIGO', 'TER']","['29.4 km', '965 km', '218 km']","[1680, 17340, 9240]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
467,Lens-Nice route 2,Lens;-Nice,"['Lens;-Lille Flandres', 'Lille Flandres;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Nice Saint-Augustin']","['TER', 'OUIGO', 'TER']","['38.7 km', '965 km', '218 km']","[2400, 17340, 9240]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
468,Lens-Nice route 3,Lens;-Nice,"['Lens;-Lille Flandres', 'Lille Flandres;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Nice Saint-Augustin']","['TER', 'OUIGO', 'TER']","['38.7 km', '965 km', '218 km']","[2400, 17340, 9240]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
469,Lens-Nice route 4,Lens;-Nice,"['Lens;-Gare du Nord', 'Gare de Lyon;-Cannes', 'Cannes;-Nice Saint-Augustin']","['TGV INOUI', 'TGV INOUI', 'TER']","['199 km', '938 km', '25.1 km']","[4740, 18300, 1800]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
470,Lens-Nice route 5,Lens;-Nice,"['Lens;-Lille Flandres', 'Lille Flandres;-Aix-en-Provence TGV', 'Aix-en-Provence TGV;-Saint-Raphaël Valescure', 'Saint-Raphaël Valescure;-Nice Saint-Augustin']","['TER', 'OUIGO', 'TGV INOUI', 'TER']","['37.8 km', '946 km', '178 km', '57.2 km']","[3540, 16680, 6060, 4260]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
471,Lens-Nice route 6,Lens;-Nice,"['Lens;-Lille Flandres', 'Lille Flandres;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Nice Saint-Augustin']","['TER', 'OUIGO', 'TER']","['37.8 km', '966 km', '218 km']","[3540, 18000, 9125]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
472,Lens-Paris Saint-Germain route 1,Lens;-Paris Saint-Germain,['Lens;-Gare du Nord'],['TGV INOUI'],['199 km'],[4740],['HIGH_SPEED_TRAIN']
473,Lens-Paris Saint-Germain route 2,Lens;-Paris Saint-Germain,['Lens;-Gare du Nord'],['TGV INOUI'],['199 km'],[4740],['HIGH_SPEED_TRAIN']
474,Lens-Paris Saint-Germain route 3,Lens;-Paris Saint-Germain,['Lens;-Gare du Nord'],['TGV INOUI'],['199 km'],[4740],['HIGH_SPEED_TRAIN']
475,Lens-Paris Saint-Germain route 4,Lens;-Paris Saint-Germain,"['Lens;-Lille Flandres', 'Lille Flandres;-Gare du Nord']","['TER', 'TGV INOUI']","['37.8 km', '225 km']","[3540, 3900]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN']"
476,Lens-Paris Saint-Germain route 5,Lens;-Paris Saint-Germain,"['Lens;-Lille Flandres', 'Lille Flandres;-Gare du Nord']","['TER', 'TGV INOUI']","['37.8 km', '225 km']","[3540, 3900]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN']"
477,Lens-Paris Saint-Germain route 6,Lens;-Paris Saint-Germain,"['Lens;-Lille Flandres', 'Lille Flandres;-Gare du Nord']","['TER', 'TGV INOUI']","['38.7 km', '225 km']","[2400, 4020]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN']"
478,Lens-Reims route 1,Lens;-Reims,"['Lens;-Lille Flandres', 'Lille Europe;-Champagne-Ardenne TGV']","['TER', 'TGV INOUI']","['38.7 km', '341 km']","[2400, 6840]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN']"
479,Lens-Reims route 2,Lens;-Reims,"['Lens;-Lille Flandres', 'Lille Europe;-Champagne-Ardenne TGV']","['TER', 'TGV INOUI']","['37.8 km', '341 km']","[3540, 6840]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN']"
480,Lens-Reims route 3,Lens;-Reims,"['Lens;-Lille Flandres', 'Lille Europe;-Champagne-Ardenne TGV', ""Champagne-Ardenne TGV;-Franchet d'Esperey""]","['TER', 'TGV INOUI', 'TER']","['38.7 km', '341 km', '7.7 km']","[2400, 6840, 420]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
481,Lens-Reims route 4,Lens;-Reims,"['Lens;-Lille Flandres', 'Lille Flandres;-Marne-la-Vallée - Chessy', 'Marne-la-Vallée - Chessy;-Champagne-Ardenne TGV']","['TER', 'OUIGO', 'TGV INOUI']","['38.7 km', '227 km', '114 km']","[2400, 4320, 1680]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
482,Lens-Reims route 5,Lens;-Reims,"['Lens;-Lille Flandres', 'Lille Europe;-Champagne-Ardenne TGV', ""Champagne-Ardenne TGV;-Franchet d'Esperey""]","['TER', 'TGV INOUI', 'TER']","['37.8 km', '341 km', '7.7 km']","[3540, 6840, 420]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
483,Lens-Reims route 6,Lens;-Reims,"['Lens;-Douai', 'Douai;-Lille Flandres', 'Lille Europe;-Champagne-Ardenne TGV']","['TER', 'TER', 'TGV INOUI']","['25.8 km', '33.6 km', '341 km']","[1800, 1320, 6840]","['HEAVY_RAIL', 'HEAVY_RAIL', 'HIGH_SPEED_TRAIN']"
484,Lens-Rennes route 1,Lens;-Rennes,"['Lens;-Gare du Nord', 'Gare Montparnasse;-Rennes']","['TGV INOUI', 'TGV INOUI']","['199 km', '356 km']","[4740, 5280]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
485,Lens-Rennes route 2,Lens;-Rennes,"['Lens;-Gare du Nord', 'Gare Montparnasse;-Rennes']","['TGV INOUI', 'TGV INOUI']","['199 km', '356 km']","[4740, 5280]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
486,Lens-Rennes route 3,Lens;-Rennes,"['Lens;-Gare du Nord', 'Gare Montparnasse;-Rennes']","['TGV INOUI', 'TGV INOUI']","['199 km', '356 km']","[4740, 5280]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
487,Lens-Rennes route 4,Lens;-Rennes,"['Lens;-Gare du Nord', 'Gare Montparnasse;-Rennes']","['TGV INOUI', 'TGV INOUI']","['199 km', '356 km']","[4740, 5280]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
488,Lens-Rennes route 5,Lens;-Rennes,"['Lens;-Lille Flandres', 'Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Rennes']","['TER', 'TGV INOUI', 'TGV INOUI']","['38.7 km', '225 km', '356 km']","[2400, 3900, 5280]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
489,Lens-Rennes route 6,Lens;-Rennes,"['Lens;-Lille Flandres', 'Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Rennes']","['TER', 'TGV INOUI', 'TGV INOUI']","['37.8 km', '225 km', '356 km']","[3540, 3900, 5280]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
490,Lens-Strasbourg route 1,Lens;-Strasbourg,"['Lens;-Gare du Nord', ""Gare de l'Est;-Strasbourg"", 'Strasbourg;-Krimmeri-Meinau']","['TGV INOUI', 'ICE', 'TER']","['199 km', '438 km', '3.2 km']","[4740, 6360, 240]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
491,Lens-Strasbourg route 2,Lens;-Strasbourg,"['Lens;-Gare du Nord', ""Gare de l'Est;-Strasbourg"", 'Strasbourg;-Krimmeri-Meinau']","['TGV INOUI', 'ICE', 'TER']","['199 km', '438 km', '3.2 km']","[4740, 6360, 240]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
492,Lens-Strasbourg route 3,Lens;-Strasbourg,"['Lens;-Lille Flandres', 'Lille Flandres;-Gare du Nord', ""Gare de l'Est;-Strasbourg"", 'Strasbourg;-Krimmeri-Meinau']","['TER', 'TGV INOUI', 'TGV INOUI', 'TER']","['37.8 km', '225 km', '438 km', '3.2 km']","[3540, 3900, 6360, 180]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
493,Lens-Strasbourg route 4,Lens;-Strasbourg,"['Lens;-Lille Flandres', 'Lille Flandres;-Gare du Nord', ""Gare de l'Est;-Strasbourg""]","['TER', 'TGV INOUI', 'OUIGO']","['37.8 km', '225 km', '458 km']","[3540, 3900, 9840]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
494,Lens-Strasbourg route 5,Lens;-Strasbourg,"['Lens;-Arras', 'Arras;-Lille Europe', 'Lille Flandres;-Gare du Nord', ""Gare de l'Est;-Strasbourg"", 'Strasbourg;-Krimmeri-Meinau']","['TER', 'TGV INOUI', 'TGV INOUI', 'TGV INOUI', 'TER']","['19.1 km', '54.1 km', '225 km', '438 km', '3.2 km']","[1080, 1260, 3900, 6360, 180]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
495,Lens-Strasbourg route 6,Lens;-Strasbourg,"['Lens;-Lille Flandres', 'Lille Europe;-Charles de Gaulle Airport 2 TGV', 'Charles de Gaulle Airport 2 TGV;-Strasbourg']","['TER', 'TGV INOUI', 'TGV INOUI']","['38.7 km', '203 km', '418 km']","[2340, 3420, 7440]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
496,Lens-Saint-Étienne route 1,Lens;-Saint-Étienne,"['Lens;-Lille Flandres', 'Lille Flandres;-Lyon Part Dieu', 'Lyon Part Dieu;-St-Etienne-Châteaucreux']","['TER', 'OUIGO', 'TER']","['38.7 km', '645 km', '59.8 km']","[2400, 10980, 2820]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
497,Lens-Saint-Étienne route 2,Lens;-Saint-Étienne,"['Lens;-Lille Flandres', 'Lille Flandres;-Lyon Part Dieu', 'Lyon Part Dieu;-St-Etienne-Châteaucreux']","['TER', 'OUIGO', 'TER']","['38.7 km', '645 km', '59.8 km']","[2400, 10980, 2820]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
498,Lens-Saint-Étienne route 3,Lens;-Saint-Étienne,"['Lens;-Lille Flandres', 'Lille Flandres;-Lyon Part Dieu', 'Lyon Part Dieu;-St-Etienne-Châteaucreux', 'St-Etienne-Châteaucreux;-Saint-Étienne La Terrasse']","['TER', 'OUIGO', 'TER', 'TER']","['38.7 km', '645 km', '59.8 km', '3.0 km']","[2400, 10980, 2820, 180]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
499,Lens-Saint-Étienne route 4,Lens;-Saint-Étienne,"['Lens;-Gare du Nord', 'Gare de Lyon;-Lyon Part Dieu', 'Lyon Part Dieu;-St-Etienne-Châteaucreux']","['TGV INOUI', 'FR', 'TER']","['199 km', '431 km', '59.8 km']","[4740, 6960, 2940]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
500,Lens-Saint-Étienne route 5,Lens;-Saint-Étienne,"['Lens;-Gare du Nord', 'Gare de Lyon;-Lyon Part Dieu', 'Lyon Part Dieu;-St-Etienne-Châteaucreux']","['TGV INOUI', 'FR', 'TER']","['199 km', '431 km', '59.8 km']","[4740, 6960, 2940]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
501,Lens-Saint-Étienne route 6,Lens;-Saint-Étienne,"['Lens;-Arras', 'Arras;-Lille Europe', 'Lille Europe;-Lyon Part Dieu', 'Lyon Part Dieu;-St-Etienne-Châteaucreux']","['TER', 'TGV INOUI', 'TGV INOUI', 'TER']","['19.1 km', '54.1 km', '645 km', '59.8 km']","[1080, 1260, 11040, 2940]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
502,Lens-Toulouse route 1,Lens;-Toulouse,"['Lens;-Gare du Nord', 'Gare Montparnasse;-Toulouse Matabiau']","['TGV INOUI', 'TGV INOUI']","['199 km', '794 km']","[4740, 16980]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
503,Lens-Toulouse route 2,Lens;-Toulouse,"['Lens;-Gare du Nord', 'Gare Montparnasse;-Toulouse Matabiau']","['TGV INOUI', 'TGV INOUI']","['199 km', '794 km']","[4740, 16980]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
504,Lens-Toulouse route 3,Lens;-Toulouse,"['Lens;-Lille Flandres', 'Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Toulouse Matabiau']","['TER', 'TGV INOUI', 'TGV INOUI']","['38.7 km', '225 km', '794 km']","[2400, 3900, 16980]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
505,Lens-Toulouse route 4,Lens;-Toulouse,"['Lens;-Lille Flandres', 'Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Toulouse Matabiau']","['TER', 'TGV INOUI', 'TGV INOUI']","['37.8 km', '225 km', '794 km']","[3540, 3900, 16980]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
506,Lens-Toulouse route 5,Lens;-Toulouse,"['Lens;-Lille Flandres', 'Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Toulouse Matabiau']","['TER', 'TGV INOUI', 'TGV INOUI']","['38.7 km', '225 km', '794 km']","[2400, 4020, 16860]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
507,Lens-Toulouse route 6,Lens;-Toulouse,"['Lens;-Lille Flandres', 'Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Bordeaux Saint-Jean']","['TER', 'TGV INOUI', 'TGV INOUI']","['38.7 km', '225 km', '542 km']","[2340, 4020, 9420]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
508,Lille-Angers route 1,Lille;-Angers,"['Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Angers Saint-Laud']","['TGV INOUI', 'TGV INOUI']","['225 km', '298 km']","[3900, 5880]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
509,Lille-Angers route 2,Lille;-Angers,"['Lille Europe;-Gare du Nord', 'Gare Montparnasse;-Angers Saint-Laud']","['TGV INOUI', 'OUIGO']","['238 km', '298 km']","[5340, 4860]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
510,Lille-Angers route 3,Lille;-Angers,"['Lille Flandres;-Charles de Gaulle Airport 2 TGV', 'Gare Montparnasse;-Angers Saint-Laud']","['OUIGO', 'OUIGO']","['203 km', '298 km']","[3480, 4860]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
511,Lille-Angers route 4,Lille;-Angers,"['Lille Europe;-Gare du Nord', 'Gare Montparnasse;-Angers Saint-Laud']","['TGV INOUI', 'OUIGO']","['238 km', '298 km']","[5340, 4860]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
512,Lille-Angers route 5,Lille;-Angers,['Lille Europe;-Angers Saint-Laud'],['TGV INOUI'],['573 km'],[11820],['HIGH_SPEED_TRAIN']
513,Lille-Angers route 6,Lille;-Angers,['Lille Europe;-Angers Saint-Laud'],['TGV INOUI'],['573 km'],[11820],['HIGH_SPEED_TRAIN']
514,Lille-Auxerre route 1,Lille;-Auxerre,"['Lille Flandres;-Gare du Nord', ""Paris Bercy Bourgogne - Pays d'Auvergne;-Sens"", 'Sens;-Auxerre Saint-Gervais']","['TGV INOUI', 'TER', 'TER']","['225 km', '110 km', '61.7 km']","[3900, 3420, 2940]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
515,Lille-Auxerre route 2,Lille;-Auxerre,"['Lille Flandres;-Gare du Nord', ""Paris Bercy Bourgogne - Pays d'Auvergne;-Sens"", 'Sens;-Auxerre Saint-Gervais']","['TGV INOUI', 'TER', 'TER']","['225 km', '110 km', '61.7 km']","[3900, 3420, 2940]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
516,Lille-Auxerre route 3,Lille;-Auxerre,"['Lille Flandres;-Gare du Nord', ""Paris Bercy Bourgogne - Pays d'Auvergne;-Sens"", 'Sens;-Auxerre Saint-Gervais']","['TGV INOUI', 'TER', 'TER']","['225 km', '110 km', '61.7 km']","[3900, 3420, 2940]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
517,Lille-Auxerre route 4,Lille;-Auxerre,"['Lille Flandres;-Marne-la-Vallée - Chessy', ""Paris Bercy Bourgogne - Pays d'Auvergne;-Sens"", 'Sens;-Auxerre Saint-Gervais']","['OUIGO', 'TER', 'TER']","['227 km', '110 km', '61.7 km']","[4320, 3300, 2880]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
518,Lille-Auxerre route 5,Lille;-Auxerre,"['Lille Flandres;-Charles de Gaulle Airport 2 TGV', ""Paris Bercy Bourgogne - Pays d'Auvergne;-Sens"", 'Sens;-Auxerre Saint-Gervais']","['OUIGO', 'TER', 'TER']","['203 km', '110 km', '61.7 km']","[3480, 3300, 2880]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
519,Lille-Auxerre route 6,Lille;-Auxerre,"['Lille Flandres;-Marne-la-Vallée - Chessy', ""Paris Bercy Bourgogne - Pays d'Auvergne;-Sens"", 'Sens;-Auxerre Saint-Gervais']","['OUIGO', 'TER', 'TER']","['227 km', '110 km', '61.7 km']","[4320, 3300, 2880]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
520,Lille-Brest route 1,Lille;-Brest,"['Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Brest Train Station']","['TGV INOUI', 'TGV INOUI']","['225 km', '605 km']","[3900, 13860]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
521,Lille-Brest route 2,Lille;-Brest,"['Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Brest Train Station']","['TGV INOUI', 'TGV INOUI']","['225 km', '605 km']","[3900, 13860]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
522,Lille-Le Havre route 1,Lille;-Le Havre,"['Lille Flandres;-Gare du Nord', 'Saint-Lazare;-Le Havre']","['TGV INOUI', 'TER']","['225 km', '227 km']","[3900, 7500]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
523,Lille-Le Havre route 2,Lille;-Le Havre,"['Lille Flandres;-Gare du Nord', 'Saint-Lazare;-Le Havre']","['TGV INOUI', 'TER']","['225 km', '227 km']","[3900, 7500]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
524,Lille-Le Havre route 3,Lille;-Le Havre,['Lille Europe;-Gare du Nord'],['TGV INOUI'],['238 km'],[5340],['HIGH_SPEED_TRAIN']
525,Lille-Le Havre route 4,Lille;-Le Havre,"['Lille Flandres;-Arras', 'Arras;-Gare du Nord']","['TER', 'TGV INOUI']","['58.9 km', '179 km']","[2100, 3060]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN']"
526,Lille-Le Havre route 5,Lille;-Le Havre,['Lille Europe;-Charles de Gaulle Airport 2 TGV'],['TGV INOUI'],['203 km'],[3360],['HIGH_SPEED_TRAIN']
527,Lille-Lens route 1,Lille;-Lens,['Lille Centre Hospitalier Régional;-Lens'],['TER'],['30.4 km'],[2700],['HEAVY_RAIL']
528,Lille-Lens route 2,Lille;-Lens,['Lille Flandres;-Lens'],['TER'],['38.7 km'],[2400],['HEAVY_RAIL']
529,Lille-Lens route 3,Lille;-Lens,"['Lille Flandres;-Ostricourt', 'Ostricourt;-Lens']","['TER', 'TER']","['24.0 km', '16.2 km']","[1740, 1380]","['HEAVY_RAIL', 'HEAVY_RAIL']"
530,Lille-Lens route 4,Lille;-Lens,['Porte de Douai;-Lens'],['TER'],['33.4 km'],[3000],['HEAVY_RAIL']
531,Lille-Lens route 5,Lille;-Lens,['Lille Centre Hospitalier Régional;-Lens'],['TER'],['30.4 km'],[2700],['HEAVY_RAIL']
532,Lille-Lens route 6,Lille;-Lens,['Lille Centre Hospitalier Régional;-Lens'],['TER'],['30.4 km'],[2700],['HEAVY_RAIL']
533,Lille-Lyon route 1,Lille;-Lyon,['Lille Flandres;-Lyon Saint-Exupéry TGV'],['OUIGO'],['657 km'],[10980],['HIGH_SPEED_TRAIN']
534,Lille-Lyon route 2,Lille;-Lyon,['Lille Flandres;-Lyon Part Dieu'],['OUIGO'],['645 km'],[10980],['HIGH_SPEED_TRAIN']
535,Lille-Lyon route 3,Lille;-Lyon,['Lille Europe;-Lyon Part Dieu'],['TGV INOUI'],['645 km'],[10740],['HIGH_SPEED_TRAIN']
536,Lille-Lyon route 4,Lille;-Lyon,['Lille Europe;-Lyon Part Dieu'],['TGV INOUI'],['645 km'],[10740],['HIGH_SPEED_TRAIN']
537,Lille-Lyon route 5,Lille;-Lyon,['Lille Europe;-Lyon Part Dieu'],['TGV INOUI'],['645 km'],[11160],['HIGH_SPEED_TRAIN']
538,Lille-Lyon route 6,Lille;-Lyon,['Lille Europe;-Lyon Part Dieu'],['TGV INOUI'],['645 km'],[11160],['HIGH_SPEED_TRAIN']
539,Lille-Marseille route 1,Lille;-Marseille,['Lille Flandres;-Marseille Saint-Charles'],['OUIGO'],['966 km'],[16920],['HIGH_SPEED_TRAIN']
540,Lille-Marseille route 2,Lille;-Marseille,"['Lille Flandres;-Gare du Nord', 'Gare de Lyon;-Marseille Saint-Charles']","['TGV INOUI', 'TGV INOUI']","['225 km', '747 km']","[3900, 11040]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
541,Lille-Marseille route 3,Lille;-Marseille,['Lille Flandres;-Marseille Saint-Charles'],['OUIGO'],['965 km'],[17340],['HIGH_SPEED_TRAIN']
542,Lille-Marseille route 4,Lille;-Marseille,['Lille Europe;-Marseille Saint-Charles'],['TGV INOUI'],['965 km'],[17280],['HIGH_SPEED_TRAIN']
543,Lille-Marseille route 5,Lille;-Marseille,"['Lille Flandres;-Gare du Nord', 'Gare de Lyon;-Marseille Saint-Charles']","['TGV INOUI', 'TGV INOUI']","['225 km', '747 km']","[3900, 11880]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
544,Lille-Marseille route 6,Lille;-Marseille,['Lille Flandres;-Marseille Saint-Charles'],['OUIGO'],['966 km'],[18000],['HIGH_SPEED_TRAIN']
545,Lille-Monaco route 1,Lille;-Monaco,['Lille Flandres;-Marseille Saint-Charles'],['OUIGO'],['966 km'],[16920],['HIGH_SPEED_TRAIN']
546,Lille-Monaco route 2,Lille;-Monaco,"['Lille Flandres;-Gare du Nord', 'Gare de Lyon;-Cannes', 'Cannes;-Monaco-Monte-Carlo station']","['TGV INOUI', 'TGV INOUI', 'TER']","['225 km', '940 km', '46.9 km']","[3900, 19020, 3720]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
547,Lille-Monaco route 3,Lille;-Monaco,"['Lille Flandres;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Cannes', 'Cannes;-Monaco-Monte-Carlo station']","['OUIGO', 'TER', 'TER']","['965 km', '193 km', '46.9 km']","[17340, 7740, 3720]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
548,Lille-Monaco route 4,Lille;-Monaco,"['Lille Europe;-Lyon Part Dieu', 'Lyon Part Dieu;-Valence TGV Rhône-Alpes Sud', 'Valence TGV Rhône-Alpes Sud;-Cannes', 'Cannes;-Monaco-Monte-Carlo station']","['TGV INOUI', 'TGV INOUI', 'OUIGO', 'TER']","['645 km', '102 km', '413 km', '46.9 km']","[10740, 2160, 10740, 3660]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
549,Lille-Monaco route 5,Lille;-Monaco,['Lille Flandres;-Marseille Saint-Charles'],['OUIGO'],['966 km'],[18000],['HIGH_SPEED_TRAIN']
550,Lille-Monaco route 6,Lille;-Monaco,"['Lille Flandres;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Toulon']","['OUIGO', 'TER']","['966 km', '66.9 km']","[18000, 3300]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
551,Lille-Montpellier route 1,Lille;-Montpellier,"['Lille Flandres;-Avignon TGV', 'Avignon TGV;-Avignon Centre', 'Avignon Centre;-Montpellier Saint-Roch']","['OUIGO', 'TER', 'TER']","['872 km', '4.0 km', '98.4 km']","[14220, 300, 4260]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
