,trajet,distance,time,emission
294,Toulouse;-Lille,898113,31275,53886780
295,Toulouse;-Lyon,544712,18320,32682720
296,Toulouse;-Marseille,407248,14144,24434880
297,Toulouse;-Monaco,583135,20563,34988100
298,Toulouse;-Montpellier,242794,8497,14567640
299,Toulouse;-Nantes,598864,19367,35931840
300,Toulouse;-Nice,557753,19070,33465180
301,Toulouse;-Paris Saint-Germain,679067,23222,40744020
302,Toulouse;-Reims,818122,28085,49087320
303,Toulouse;-Rennes,704581,23125,42274860
304,Toulouse;-Strasbourg,974202,34083,58452120
305,Toulouse;-Saint-Étienne,538555,17883,32313300
